服务器ID,玩家ID,记录类型,说明,猿猴币数量,自选宝箱数量,时间
2038602,26391637,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 09:51:42.086
2038602,26391637,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 09:51:44.571
2038602,26391637,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2033202,26422876,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 14:39:37.445
2033202,26422876,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 13:02:45.298
2033202,26422876,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2007202,266079,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 05:53:11.710
2007202,266079,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 19:31:51.554
2007202,266079,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2030002,27138261,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 08:02:48.485
2030002,27138261,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 23:25:04.757
2030002,27138261,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 14:23:09.666
2030002,27138261,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 15:59:05.051
2030002,27138261,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 15:59:09.804
2030002,27138261,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 15:59:13.891
2030002,27138261,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2030002,27138261,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2033202,27214385,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 14:56:02.228
2033202,27214385,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 16:05:31.326
2033202,27214385,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2030002,27365152,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 08:40:45.402
2030002,27365152,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 18:43:19.182
2030002,27365152,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 18:44:48.273
2030002,27365152,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 19:01:27.122
2030002,27365152,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 23:40:23.398
2030002,27365152,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-19 04:57:20.029
2030002,27365152,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 08:40:58.338
2030002,27365152,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 18:49:44.860
2030002,27365152,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2077002,27608534,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 03:06:33.190
2077002,27608534,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 03:43:54.472
2077002,27608534,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 13:40:31.219
2077002,27608534,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 13:40:35.094
2077002,27608534,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2077002,27608534,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2077002,27610334,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 12:52:33.062
2077002,27610334,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 13:34:48.028
2077002,27610334,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2032402,27652679,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 09:06:51.472
2032402,27652679,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 09:17:57.143
2032402,27652679,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 09:18:49.576
2032402,27652679,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 09:44:09.343
2032402,27652679,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-18 07:16:03.042
2032402,27652679,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 09:44:23.807
2032402,27652679,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 07:16:15.055
2032402,27652679,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:38.593
2032402,27652679,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:01:53.092
2032402,27652679,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2032402,27652679,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2032402,27661733,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 20:38:41.515
2032402,27661733,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 13:41:28.097
2032402,27661733,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2032402,27777369,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 19:57:47.365
2032402,27777369,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:07:05.276
2032402,27777369,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2032402,27801143,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 06:41:44.278
2032402,27801143,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 06:42:11.950
2032402,27801143,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:03:32.162
2032402,27801143,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2032402,27837911,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 09:53:37.581
2032402,27837911,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:09:36.029
2032402,27837911,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:09:38.971
2032402,27837911,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2006502,2802036,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 13:28:18.042
2006502,2802036,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:15:46.120
2006502,2802036,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2032402,28497456,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 06:10:07.732
2032402,28497456,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 13:20:25.561
2032402,28497456,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 13:20:30.777
2032402,28497456,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 10:58:26.044
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 16:56:18.021
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 17:00:08.415
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 17:16:37.434
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 17:20:33.985
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 17:23:50.320
2063202,28877038,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 17:47:06.530
2063202,28877038,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 14:12:37.028
2063202,28877038,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 18:13:07.496
2063202,28877038,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 18:13:09.985
2063202,28877038,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 18:13:49.414
2063202,28877038,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:00:36.598
2063202,28877038,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:00:38.868
2063202,28877038,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:00:41.100
2063202,28877038,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 11:00:45.371
2063202,28877038,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 11:00:48.258
2063202,28877038,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 11:00:51.998
2063202,28877038,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2063202,28877038,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2063202,28877038,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2063202,28877038,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2041002,28887939,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 10:06:14.778
2041002,28887939,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:00:26.182
2041002,28887939,已领取-阶段一返还,返还5000猿猴币+0个自选宝箱,5000,0,2026-04-18 08:00:28.756
2041002,28887939,已领取-阶段一返还,返还0猿猴币+10个自选宝箱,0,10,2026-04-18 08:00:28.757
2041002,28887939,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:00:29.315
2041002,28887939,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:00:32.011
2041002,28887939,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:00:33.746
2041002,28887939,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:00:35.579
2041002,28887939,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2043802,29126810,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 18:03:01.310
2043802,29126810,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 23:57:01.835
2043802,29126810,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-17 15:26:06.495
2043802,29126810,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 15:26:38.819
2043802,29126810,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:48:01.597
2043802,29126810,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:48:08.230
2043802,29126810,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2038602,29222591,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 14:04:19.257
2038602,29222591,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:40.125
2038602,29222591,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:01:42.711
2038602,29222591,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:01:45.934
2038602,29222591,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:01:48.326
2038602,29222591,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,29241979,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 20:07:06.388
2041002,29241979,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-17 21:09:05.821
2041002,29241979,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-17 21:09:09.480
2041002,29241979,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 21:09:12.412
2041002,29241979,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 21:16:04.005
2041002,29241979,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 21:16:08.250
2041002,29241979,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:14:13.953
2041002,29241979,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:14:15.777
2041002,29241979,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:14:18.275
2041002,29241979,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:14:20.025
2041002,29241979,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:14:23.351
2041002,29241979,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:14:25.087
2041002,29241979,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,29241979,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,29241979,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,29241979,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2041002,29241979,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2041002,29241979,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 01:04:36.864
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 01:06:17.187
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 04:47:29.991
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 04:49:14.338
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 04:51:48.078
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 04:52:26.679
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 04:53:17.012
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 14:58:56.167
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 14:59:17.030
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 15:00:03.218
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 15:01:57.582
2054002,30122349,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 15:02:23.822
2054002,30122349,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 01:37:11.477
2054002,30122349,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-17 04:53:40.887
2054002,30122349,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-17 15:00:50.444
2054002,30122349,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 15:02:48.276
2054002,30122349,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 15:02:53.235
2054002,30122349,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 15:02:55.629
2054002,30122349,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 16:59:55.648
2054002,30122349,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 16:59:59.108
2054002,30122349,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 17:00:02.343
2054002,30122349,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 17:00:04.553
2054002,30122349,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 17:00:07.508
2054002,30122349,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 17:00:10.313
2054002,30122349,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2054002,30122349,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2054002,30122349,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2054002,30122349,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2054002,30122349,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2054002,30122349,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2037402,30243105,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 20:38:22.023
2037402,30243105,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:12:23.483
2037402,30243105,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2043802,30390058,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 22:25:16.236
2043802,30390058,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-15 22:25:55.984
2043802,30390058,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 22:57:12.727
2043802,30390058,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 10:22:22.238
2043802,30390058,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2043802,30434658,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 10:20:00.443
2043802,30434658,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 10:20:17.392
2043802,30434658,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 09:07:27.387
2043802,30434658,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,3049723,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-16 09:38:15.552
2041002,3049723,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:15:05.215
2041002,3049723,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:15:37.467
2041002,3049723,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:21:16.191
2041002,3049723,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:21:31.826
2041002,3049723,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:21:54.818
2041002,3049723,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-17 17:24:43.401
2041002,3049723,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:16:02.274
2041002,3049723,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:16:28.933
2041002,3049723,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2041002,31184730,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 15:49:19.471
2041002,31184730,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:57:20.705
2041002,31184730,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,31230922,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-16 00:47:29.026
2041002,31230922,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-16 02:19:01.625
2041002,31230922,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:49:35.791
2041002,31230922,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 09:49:40.613
2041002,31230922,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 09:49:53.541
2041002,31230922,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2039502,31770614,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 01:36:30.556
2039502,31770614,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:10:39.359
2039502,31770614,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:10:50.328
2039502,31770614,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2038602,31776438,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 23:58:02.809
2038602,31776438,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 17:27:12.065
2038602,31776438,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2007202,3182561,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-16 14:39:38.580
2007202,3182561,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 19:47:39.887
2007202,3182561,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 19:47:59.805
2007202,3182561,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 07:52:02.875
2007202,3182561,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:04:45.855
2007202,3182561,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:04:48.736
2007202,3182561,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:04:52.192
2007202,3182561,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:04:58.260
2007202,3182561,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2007202,3182561,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2007202,3182561,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2007202,3182561,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2039502,32366679,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 01:27:02.239
2039502,32366679,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 15:42:34.757
2039502,32366679,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,32404815,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-16 07:03:03.719
2041002,32404815,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 07:09:09.978
2041002,32404815,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 07:03:18.526
2041002,32404815,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 09:01:52.671
2041002,32404815,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,32624088,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 00:51:46.481
2041002,32624088,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:02:48.897
2041002,32624088,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:02:51.542
2041002,32624088,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:02:53.610
2041002,32624088,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,33031473,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 08:13:48.347
2041002,33031473,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:15:15.456
2041002,33031473,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:15:20.493
2041002,33031473,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:15:49.614
2041002,33031473,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,33103912,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 18:59:39.123
2041002,33103912,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 19:02:24.964
2041002,33103912,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:13:31.809
2041002,33103912,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2043802,33648452,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-17 23:00:06.791
2043802,33648452,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 06:42:55.931
2043802,33648452,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:31:54.517
2043802,33648452,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:31:56.527
2043802,33648452,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,33904862,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 01:14:05.072
2041002,33904862,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 01:24:06.393
2041002,33904862,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 13:24:16.013
2041002,33904862,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:05:51.056
2041002,33904862,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,34038613,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 21:26:16.248
2041002,34038613,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 14:10:39.134
2041002,34038613,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2039502,3475074,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 18:46:06.525
2039502,3475074,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 18:52:07.683
2039502,3475074,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 12:17:32.068
2039502,3475074,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:17:35.865
2039502,3475074,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:17:38.900
2039502,3475074,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2039502,3475074,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2068602,34839533,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 15:27:59.228
2068602,34839533,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-16 05:16:52.799
2068602,34839533,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-16 05:18:29.256
2068602,34839533,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 05:18:36.780
2068602,34839533,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 05:18:44.653
2068602,34839533,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 05:19:21.702
2068602,34839533,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 13:17:22.132
2068602,34839533,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 13:17:24.562
2068602,34839533,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 13:17:26.773
2068602,34839533,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 13:17:31.612
2068602,34839533,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 13:17:34.361
2068602,34839533,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 13:17:36.899
2068602,34839533,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2068602,34839533,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2068602,34839533,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
