cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
123010		约会活动-礼包-免费7							11			1	15010					1		1							DK_Img_C_H_24		DK_Role_Spine_24	DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
123011		约会活动-礼包-免费8							11				15011					1		1							DK_Img_C_H_24		DK_Role_Spine_24	DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
130002		新手主线任务小pass				14.99	109		13			1						1		1															海盗猎人的高级赏金			3030%	1	203													
130003		情报小pass				9.99	107		13			1						1		1															猎杀海盗豪华赏金			3600%	1	203													
130004		登录小pass				9.99	107		13			1						1		1															豪华登录好礼			3050%	1	203													
130005		登录小pass-圣诞节				9.99	107		13			1						1		1															圣诞登录好礼			2200%	1	203													
130006		世界入侵小pass				4.99	105		13			1						1		1															紧急备战援助			1500%	1	202													
130007		蛇年春节小pass				7.99	106		13			1						1		1															瑞雪迎春			2000%	1	202													
130008		2025情人节小pass				7.99	106		13			1						1		1															甜蜜签到			2000%	1	202													
130009		KVK-高级集结令				9.99	107		18			1						1		1															高级集结令			3385%	1	203													
130010		KVK-至尊集结令				19.99	111		18			1						1		1															至尊集结令			4130%	1	204													
130011		愚人节-高级集结令				9.99	107		18			1						1		1															高级集结令			1750%	1	203													
130012		愚人节-至尊集结令				19.99	111		18			1						1		1															至尊集结令			2050%	1	204													
130013		公会集结令-高级集结令				9.99	107		18			1						1		1															高级集结令			320%	1	203													
130014		公会集结令-至尊集结令				19.99	111		18			1						1		1															至尊集结令			600%	1	204													
130015		登录小pass-兔女郎				9.99	107		13			1						1		1															会员签到好礼			2500%	1	203													
130016		蒸汽纪元-高级合约				9.99	107		18			1						1		1															蒸汽岛高级合约			2000%	1	203													
130017		蒸汽纪元-至尊合约				19.99	111		18			1						1		1															蒸汽岛至尊合约			2350%	1	204													
130018		蔷薇酒馆-高级献礼册				9.99	107		18			1						1		1															高级献礼册			2000%	1	203													
130019		蔷薇酒馆-至尊献礼册				19.99	111		18			1						1		1															至尊献礼册			2350%	1	204													
130020		节庆通用-高级通行证				9.99	107		18			1						1		1															节日高级通行证			2000%	1	203													
130021		节庆通用-至尊通行证				19.99	111		18			1						1		1															节日至尊通行证			2350%	1	204													
130022		儿童节-高级奖品单				9.99	107		18			1						1		1															高级奖品单			2000%	1	203													
130023		儿童节-至尊奖品单				19.99	111		18			1						1		1															至尊奖品单			2350%	1	204													
130024		航海之路-高级航海图				9.99	107		18			1						1		1															高级航海图			1530%	1	203													
130025		航海之路-至尊航海图				19.99	111		18			1						1		1															至尊航海图			2250%	1	204													
130026		S1赛季-传奇战令-W1-尼西斯				19.99	111		18			1						1		1															传奇战令-尼西斯			2830%	1	204													
130027		S1赛季-传奇战令-W3-拉维耶				19.99	111		18			1						1		1															传奇战令-拉维耶			2830%	1	204													
130028		传奇战令-马琳娜				19.99	111		18			1						1		1															传奇战令-玛琳娜			2830%	1	204													
130029		S2赛季-传奇战令-W1-艾娃				19.99	111		18			1						1		1															传奇战令-艾娃			2830%	1	204													
130030		修女BP-高级				9.99	107		18			1						1		1															高级祈祷契约			2000%	1	203													
130031		修女BP-至尊				19.99	111		18			1						1		1															至尊祈祷契约			2350%	1	204													
130032		S4赛季-传奇战令-W1-海瑞克斯				19.99	111		18			1						1		1															传奇战令			2830%	1	204													
130033		传奇战令-阿什顿				19.99	111		18			1						1		1															传奇战令-阿什顿			2830%	1	204													
130034		S6赛季-传奇战令-林若雪				19.99	111		18			1						1		1															传奇战令-林若雪			2830%	1	204													
140000		赛季bp				29.99	112		23			1						1		1							DK_icon_halloween_candy			DK_img_gift_bg_13					至尊奖励	解锁至尊奖励领取		9000%	1														
140001		赛季bp				39.99	113		23			1						1		1							DK_icon_halloween_candy			DK_img_gift_bg_13					豪华至尊奖励	解锁至尊奖励领取\nBP等级+10		9500%	1														
200001		贝拉的感谢-礼包免费1							11			1	90101					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200002		贝拉的感谢-礼包付费1				2.99	103		11			1	90102					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	加速建造1			780%	999	201													
200003		贝拉的感谢-礼包免费2							11			1	90103					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200004		贝拉的感谢-礼包付费2				3.99	104		11			1	90104					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	加速建造2			780%	999	202													
200005		贝拉的感谢-礼包免费3							11			1	90105					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200006		贝拉的感谢-礼包付费3				4.99	105		11			1	90106					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	加速建造3			780%	999	202													
200007		贝拉的感谢-礼包免费4							11			1	90107					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200008		贝拉的感谢-礼包付费4				9.99	107		11			1	90108					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	加速建造4			780%	999	203													
200009		贝拉的感谢-礼包免费5							11			1	90109					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200010		贝拉的感谢-礼包付费5				19.99	111		11			1	90110					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	加速建造5			780%	999	204	50000												
200011		贝拉的感谢-礼包免费6							11			1	90111					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200101		俘获芳心-礼包免费1							11			1	90201					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200102		俘获芳心-礼包付费1				2.99	103		11			1	90202					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼1			900%	999	201													
200103		俘获芳心-礼包免费2							11			1	90203					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200104		俘获芳心-礼包付费2				3.99	104		11			1	90204					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼2			800%	999	202													
200105		俘获芳心-礼包免费3							11			1	90205					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200106		俘获芳心-礼包付费3				4.99	105		11			1	90206					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼3			700%	999	202													
200107		俘获芳心-礼包免费4							11			1	90207					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200108		俘获芳心-礼包付费4				9.99	107		11			1	90208					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼4			700%	999	203													
200109		俘获芳心-礼包免费5							11			1	90209					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200110		俘获芳心-礼包付费5				19.99	111		11			1	90210					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼5			700%	999	204	50000												
200111		俘获芳心-礼包免费6							11			1	90211					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200112		俘获芳心-礼包付费6				49.99	116		11			1	90212					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼6			620%	999	205	100000												
200113		俘获芳心-礼包免费7							11			1	90213					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200114		俘获芳心-礼包付费7				99.99	115		11			1	90214					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	贝拉好礼7			600%	999	205	150000												
200115		俘获芳心-礼包免费8							11			1	90215					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200201		烹饪盛宴-礼包免费1							11			1	90301					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200202		烹饪盛宴-礼包付费1				2.99	103		11			1	90302					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包1			800%	999	201													
200203		烹饪盛宴-礼包免费2							11			1	90303					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200204		烹饪盛宴-礼包付费2				3.99	104		11			1	90304					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包2			800%	999	202													
200205		烹饪盛宴-礼包免费3							11			1	90305					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200206		烹饪盛宴-礼包付费3				4.99	105		11			1	90306					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包3			800%	999	202													
200207		烹饪盛宴-礼包免费4							11			1	90307					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200208		烹饪盛宴-礼包付费4				9.99	107		11			1	90308					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包4			800%	999	203													
200209		烹饪盛宴-礼包免费5							11			1	90309					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200210		烹饪盛宴-礼包付费5				19.99	111		11			1	90310					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包5			800%	999	204	50000												
200211		烹饪盛宴-礼包免费6							11			1	90311					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200321		舞娘助力-礼包免费1							11			1	90421					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200322		舞娘助力-礼包付费1				1.99	102		11			1	90422					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包1			2800%	999	201													
200323		舞娘助力-礼包免费2							11			1	90423					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200324		舞娘助力-礼包付费2				1.99	102		11			1	90424					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包2			3000%	999	201													
200325		舞娘助力-礼包免费3							11			1	90425					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200326		舞娘助力-礼包付费3				1.99	102		11			1	90426					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包3			3300%	999	201													
200327		舞娘助力-礼包免费4							11			1	90427					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200328		舞娘助力-礼包付费4				2.99	103		11			1	90428					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包4			3300%	999	201													
200329		舞娘助力-礼包免费5							11			1	90429					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200330		舞娘助力-礼包付费5				2.99	103		11			1	90430					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包5			3700%	999	201													
200331		舞娘助力-礼包免费6							11			1	90431					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200332		舞娘助力-礼包付费6				2.99	103		11			1	90432					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包6			4000%	999	201													
200333		舞娘助力-礼包免费7							11			1	90433					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200334		舞娘助力-礼包付费7				3.99	104		11			1	90434					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	奥黛丽特惠礼包7			4300%	999	202													
200335		舞娘助力-礼包免费8							11			1	90435					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200401		赛米拉的故事-礼包免费1							11			1	90501					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200402		赛米拉的故事-礼包付费1				2.99	103		11			1	90502					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包1			1300%	999	201													
200403		赛米拉的故事-礼包免费2							11			1	90503					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200404		赛米拉的故事-礼包付费2				3.99	104		11			1	90504					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包2			1300%	999	202													
200405		赛米拉的故事-礼包免费3							11			1	90505					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200406		赛米拉的故事-礼包付费3				4.99	105		11			1	90506					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包3			1300%	999	202													
200407		赛米拉的故事-礼包免费4							11			1	90507					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200408		赛米拉的故事-礼包付费4				9.99	107		11			1	90508					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包4			1300%	999	203													
200409		赛米拉的故事-礼包免费5							11			1	90509					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200410		赛米拉的故事-礼包付费5				19.99	111		11			1	90510					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包5			1050%	999	204	50000												
200411		赛米拉的故事-礼包免费6							11			1	90511					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200412		赛米拉的故事-礼包付费6				49.99	116		11			1	90512					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包6			800%	999	205	100000												
200413		赛米拉的故事-礼包免费7							11			1	90513					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
200414		赛米拉的故事-礼包付费7				99.99	115		11			1	90514					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉特惠礼包7			800%	999	205	150000												
200415		赛米拉的故事-礼包免费8							11			1	90515					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201001		生意兴隆-礼包免费1							11			1	91101					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201002		生意兴隆-礼包付费1				2.99	103		11			1	91102					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包1			800%	999	201													
201003		生意兴隆-礼包免费2							11			1	91103					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201004		生意兴隆-礼包付费2				3.99	104		11			1	91104					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包2			800%	999	202													
201005		生意兴隆-礼包免费3							11			1	91105					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201006		生意兴隆-礼包付费3				4.99	105		11			1	91106					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包3			800%	999	202													
201007		生意兴隆-礼包免费4							11			1	91107					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201008		生意兴隆-礼包付费4				9.99	107		11			1	91108					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包4			800%	999	203													
201009		生意兴隆-礼包免费5							11			1	91109					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201010		生意兴隆-礼包付费5				19.99	111		11			1	91110					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	材料特惠礼包5			800%	999	204	50000												
201011		生意兴隆-礼包免费6							11			1	91111					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201201		最佳酒馆阿什顿-礼包免费1							11			1	91301					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201202		最佳酒馆阿什顿-礼包付费1				2.99	103		11			1	91302					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿特惠礼包1			1300%	999	201													
201203		最佳酒馆阿什顿-礼包免费2							11			1	91303					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201204		最佳酒馆阿什顿-礼包付费2				3.99	104		11			1	91304					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿特惠礼包2			1300%	999	202													
201205		最佳酒馆阿什顿-礼包免费3							11			1	91305					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201206		最佳酒馆阿什顿-礼包付费3				4.99	105		11			1	91306					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿特惠礼包3			1300%	999	202													
201207		最佳酒馆阿什顿-礼包免费4							11			1	91307					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201208		最佳酒馆阿什顿-礼包付费4				9.99	107		11			1	91308					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿特惠礼包4			1300%	999	203													
201209		最佳酒馆阿什顿-礼包免费5							11			1	91309					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
201210		最佳酒馆阿什顿-礼包付费5				19.99	111		11			1	91310					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿特惠礼包5			1050%	999	204	50000												
201211		最佳酒馆阿什顿-礼包免费6							11			1	91311					1		1							DK_Img_C_H_48			DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包				999														
