cs	cs		c	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs							
51047	信物-艾琳娜	4	用于提升英雄星级的信物	1		0			1	19|646|653	通过专属酒馆招募可获得	0								DK_Img_Hero_Token_47			DK_Bg_CM_Item4					99999							5000						
51048	信物-金明珠	4	用于提升英雄星级的信物	1		0			1	409|19	通过竞技场商店可购买	0								DK_Img_Hero_Token_48			DK_Bg_CM_Item4					99999							5000						
51049	信物-诺瓦尔	4	用于提升英雄星级的信物	1		0			1	19|100243	通过远征活动获得	0								DK_Img_Hero_Token_49			DK_Bg_CM_Item4					99999							5000						
51050	信物-艾娃	4	用于提升英雄星级的信物	1		0			1	19|100242	通过远征活动获得	0								DK_Img_Hero_Token_50			DK_Bg_CM_Item4					99999							5000						
51051	信物-佐伊	4	用于提升英雄星级的信物	1		0			1	19|651	通过专属酒馆招募可获得	0								DK_Img_Hero_Token_51			DK_Bg_CM_Item4					99999							5000						
51055	信物-诺娃	4	用于提升英雄星级的信物	1		0			1	19|100291	通过远征活动获得	0								DK_Img_Hero_Token_55			DK_Bg_CM_Item4					99999							5000						
51056	信物-维丹蒂亚	4	用于提升英雄星级的信物	1		0			1		通过公会争霸赛活动可获得	0								DK_Img_Hero_Token_56			DK_Bg_CM_Item4					99999							5000						
51052	信物-林若雪	4	用于提升英雄星级的信物	1		0			1	19	暂无获取渠道	0								DK_Img_Hero_Token_52			DK_Bg_CM_Item4					99999							5000						
51058	信物-伊莎黛儿	4	用于提升英雄星级的信物	1		0			1	19	暂无获取渠道	0								DK_Img_Hero_Token_58			DK_Bg_CM_Item4					99999							5000						
52001	万能稀有信物	碎片	可用于兑换任意稀有英雄的信物	1		0			1			0								DK_Icon_Yingxiaong_Suipianbai2			DK_Bg_CM_Item2					99996							500						
52002	万能史诗信物	碎片	可用于兑换任意史诗英雄的信物	1		0			1			0								DK_Icon_Yingxiaong_Suipianbai3			DK_Bg_CM_Item3					99997							1000						
52003	万能传奇信物	碎片	可用于兑换任意传奇英雄的信物	1		0			1	403|100132|553		0								DK_Icon_Yingxiaong_Suipianbai4			DK_Bg_CM_Item4					99998							5000						
53014	盛宴礼服·柳柳	一周年	使用后可获得柳柳皮肤——盛宴礼服。她穿上那件深蓝如夜、点缀银丝暗纹的旗袍，裙摆随着微风轻摇，散发出幽幽书卷香。	21		1	22	101401|-1	1	100317	通过限时专属商店购买	0								DK_Img_C_H_14_Skin01			DK_Bg_CM_Item4					99999							500000						
53017	热浪尤物·赛米拉	25海滨假日	使用后可获得赛米拉皮肤——热浪尤物。	21		1	22	101701|-1	1	100317	通过限时专属商店购买	0								DK_Img_C_H_17_Skin01			DK_Bg_CM_Item4					99999							500000						
53034	兔耳魅影·霍普金斯	进度礼包	使用后可获得霍普金斯皮肤。	21		1	22	103401|-1	1		通过砰然心动活动获得	0								DK_Img_C_H_34			DK_Bg_CM_Item4					99999							500000						
53035	兔耳魅影·霍普金斯(1天)	霍普金斯皮肤1天	使用后可获得霍普金斯皮肤。	21		1	22	103401|86400				0								DK_Img_C_H_34			DK_Bg_CM_Item4	1d				99999							500000						
53036	月影华裳·霍普金斯	25中秋节	使用后可获得霍普金斯皮肤。	21		1	22	103402|-1	1	100317	暂无获取渠道	0								DK_Img_C_H_34_Skin02			DK_Bg_CM_Item4					99999							500000						
5300601	笑迎春·茉莉	26春节	使用后可获得英雄皮肤-笑迎春·茉莉	21		1	22	100601|-1	1	100343	暂无获取渠道									DK_Img_C_H_6_Skin01			DK_Bg_CM_Item4					99999							500000						
5301501	甜心咖啡师·海泽尔	26情人节	使用后可获得海泽尔皮肤。她的拉花？永远是爱心。永远为你而作。	21		1	22	101501|-1	1	100329	暂无获取渠道	0								DK_Img_C_H_15_Skin01			DK_Bg_CM_Item4					99999							500000						
5301702	永恒誓约·赛米拉	26情人节	使用后可获得赛米拉皮肤。不是所有爱情都能穿越风暴，但她的爱，足以让时间停驻在婚礼那天。	21		1	22	101702|-1	1	100331	暂无获取渠道	0								DK_Img_C_H_17_Skin02			DK_Bg_CM_Item4					99999							500000						
5302101	内裤宗师·贝拉	内裤的踪迹	使用后可获得贝拉皮肤。	21		1	22	102102|-1	1	100258	通过内裤的踪迹活动获得	0								DK_Img_C_H_21_Skin01			DK_Bg_CM_Item4					99999							500000						
5302201	战斧女王·阿迪娜	25凛冬补给战	使用后可获得阿迪娜皮肤。	21		1	22	102201|-1	1	100317	暂无获取渠道	0								DK_Img_C_H_22_Skin01			DK_Bg_CM_Item4					99999							500000						
5302801	审判之光·维奥莱特	修女晋升	使用后可获得修女皮肤，并解锁技能——审判之光。	21		1	22	102801|-1	1	100262	通过信仰之路活动获得	0								DK_Img_C_H_28_Skin01			DK_Bg_CM_Item4					99999							500000						
5303001	糖杖小红帽·弗莱彻	25圣诞节	使用后可获得弗莱彻皮肤。	21		1	22	103001|-1	1		暂无获取渠道	0								DK_Img_C_H_30_Lv1			DK_Bg_CM_Item4					99999							500000						
5303401	海风旅者·霍普金斯	航海之路	使用后可获得霍普金斯皮肤。	21		1	22	103403|-1	1	100401|100241|869	通过航海之路活动获得	0								DK_Img_C_H_34_Skin03			DK_Bg_CM_Item4					99999							500000						
5303404	金海商使·霍普金斯	商会盛邀	使用后可获得霍普金斯皮肤。	21		1	22	103404|-1	1	100410	通过商会盛邀礼包获得	0								DK_Img_C_H_34_Skin04			DK_Bg_CM_Item4					99999							500000						
5303405	黑金契约·霍普金斯	黑金契约	使用后可获得霍普金斯皮肤。	21		1	22	103405|-1	1	100411	通过黑金契约礼包获得	0								DK_Img_C_H_34_Skin05			DK_Bg_CM_Item4					99999							500000						
5303501	守护誓约·阿什顿	25感恩节	使用后可获得阿什顿皮肤。白衣再披，誓约仍燃！	21		1	22	103501|-1	1	100317	暂无获取渠道	0								DK_Img_C_H_35_Skin01			DK_Bg_CM_Item4					99999							500000						
5303502	征服者·阿什顿	投放特殊技能的皮肤	使用后可获得阿什顿皮肤。	21		1	22	103502|-1	1	315	通过购买礼包获取	0								DK_Img_C_H_35_Lv1			DK_Bg_CM_Item4					99999							500000						
5303601	万圣魔女·哈妮	25万圣节	使用后可获得哈妮皮肤。	21		1	22	103601|-1	1	100317	暂无获取渠道	0								DK_Img_C_H_36_Lv1			DK_Bg_CM_Item4					99999							500000						
5303901	星马低语·卡蜜拉	26元旦节	使用后可获得卡蜜拉皮肤，并解锁技能——天马的祝福！	21		1	22	103901|-1	1	100296	暂无获取渠道	0								DK_Img_C_H_39_Skin01			DK_Bg_CM_Item4					99999							500000						
5304001	足球宝贝·爱莉希雅	26世界杯	使用后可获得爱莉希雅的专属皮肤——足球宝贝！	21		1	22	104001|-1	1	100296	暂无获取渠道	0								DK_Img_C_H_40_Skin01			DK_Bg_CM_Item4					99999							500000						
5302301	尼罗王后·克利欧佩特拉	26埃及	使用后可获得克利欧佩特拉皮肤。	21		1	22	102301|-1	1	100314	暂无获取渠道	0								DK_Img_C_H_23_Skin01			DK_Bg_CM_Item4					99999							500000						
5303701	猫女仆·莫妮卡	26埃及	使用后可获得莫妮卡皮肤。	21		1	22	103701|-1	1	100314	暂无获取渠道	0								DK_Img_C_H_37_Skin01			DK_Bg_CM_Item4					99999							500000						
530011	仙蒂公主·格蕾丝	投放特殊技能的皮肤	使用后可获得英雄皮肤-仙蒂公主·格蕾丝	21		1	22	10011|-1	1	800	通过购买礼包获取									DK_Img_C_H_1_Lv1			DK_Bg_CM_Item4					99999							500000						
530012	白雪公主·格蕾丝	投放特殊技能的皮肤	使用后可获得英雄皮肤-白雪公主·格蕾丝	21		1	22	10012|-1	1	803	通过购买礼包获取									DK_Img_C_H_1_Lv2			DK_Bg_CM_Item4					99999							500000						
530041	初妆·鲁比	投放特殊技能的皮肤	使用后可获得英雄皮肤-初妆·鲁比	21		1	22	10041|-1	1	403|18	通过公会商店购买									DK_Img_C_H_4_Lv1			DK_Bg_CM_Item4					99999							500000						
530042	钢羽战衣·鲁比	投放特殊技能的皮肤	使用后可获得英雄皮肤-钢羽战衣·鲁比	21		1	22	10042|-1	1	403|18	通过公会商店购买									DK_Img_C_H_4_Lv2			DK_Bg_CM_Item4					99999							500000						
530081	仙女教母·克里斯塔尔	投放特殊技能的皮肤	使用后可获得英雄皮肤-仙女教母·克里斯塔尔	21		1	22	10081|-1	1	804	通过购买礼包获取									DK_Img_C_H_8_Lv1			DK_Bg_CM_Item4					99999							500000						
530111	微醺·哈珀	投放特殊技能的皮肤	使用后可获得英雄皮肤-微醺·哈珀	21		1	22	10111|-1	1	867	通过购买礼包获取									DK_Img_C_H_11_Lv1			DK_Bg_CM_Item4					99999							500000						
530141	魔法师·柳柳	投放特殊技能的皮肤	使用后可获得英雄皮肤-魔法师·柳柳	21		1	22	10141|-1	1	313	通过购买战役终结礼包可获得									DK_Img_C_H_14_Lv1			DK_Bg_CM_Item4					99999							500000						
530142	自由·柳柳	投放特殊技能的皮肤	使用后可获得英雄皮肤-自由·柳柳	21		1	22	10142|-1	1	806	通过购买礼包获取									DK_Img_C_H_14_Lv2			DK_Bg_CM_Item4					99999							500000						
530161	战神·艾丽丝	投放特殊技能的皮肤	使用后可获得英雄皮肤-战神·艾丽丝	21		1	22	10161|-1	1	809	通过购买礼包获取									DK_Img_C_H_16_Lv1			DK_Bg_CM_Item4					99999							500000						
530201	海上女王·阿米娜	投放特殊技能的皮肤	使用后可获得英雄皮肤-海上女王·阿米娜	21		1	22	10201|-1	1	100199	通过购买阿米娜晋升礼包获得									DK_Img_C_H_20_Lv1			DK_Bg_CM_Item4					99999							500000						
530202	红绸剑姬·阿米娜	26春节	使用后可获得英雄皮肤-红绸剑姬·阿米娜	21		1	22	10202|-1	1	100343	通过新春龙舞活动获取									DK_Img_C_H_20_Skin02			DK_Bg_CM_Item4					99999							500000						
530211	传奇女仆·贝拉	投放特殊技能的皮肤	使用后可获得英雄皮肤-传奇女仆·贝拉	21		1	22	10211|-1	1	414	通过珍宝商店购买									DK_Img_C_H_53			DK_Bg_CM_Item4					99999							500000						
530221	丰收女神·阿迪娜	投放特殊技能的皮肤	使用后可获得英雄皮肤-丰收女神·阿迪娜	21		1	22	10221|-1	1	870	通过购买礼包获取									DK_Img_C_H_22_Lv1			DK_Bg_CM_Item4					99999							500000						
530241	海洋精灵·芬贝克	投放特殊技能的皮肤	使用后可获得英雄皮肤-海洋精灵·芬贝克	21		1	22	10241|-1	1	414	通过珍宝商店购买									DK_Img_C_H_57			DK_Bg_CM_Item4					99999							500000						
530291	史诗舞者·奥黛丽	投放特殊技能的皮肤	使用后可获得英雄皮肤-史诗舞者·奥黛丽	21		1	22	10291|-1	1	852	通过购买礼包获取									DK_Img_C_H_29_Lv1			DK_Bg_CM_Item4					99999							500000						
530292	传奇舞者·奥黛丽	投放特殊技能的皮肤	使用后可获得英雄皮肤-传奇舞者·奥黛丽	21		1	22	10292|-1	1	853	通过购买礼包获取									DK_Img_C_H_29_Lv2			DK_Bg_CM_Item4					99999							500000						
530311	白衣梦魇·海瑟	投放特殊技能的皮肤	使用后可获得英雄皮肤-白衣梦魇·海瑟	21		1	22	10311|-1	1	314	通过购买礼包获取									DK_Img_C_H_31_Lv1			DK_Bg_CM_Item4					99999							500000						
530321	艺术大师·斯隆	投放特殊技能的皮肤	使用后可获得英雄皮肤-艺术大师·斯隆	21		1	22	10321|-1	1	866	通过购买礼包获取									DK_Img_C_H_32_Lv1			DK_Bg_CM_Item4					99999							500000						
530421	圣光·夜玫瑰	投放特殊技能的皮肤	使用后可获得英雄皮肤-圣光·夜玫瑰	21		1	22	10421|-1	1	100248	通过购买礼包获取									DK_Img_C_H_42_Lv1			DK_Bg_CM_Item4					99999							500000						
530422	幻彩·夜玫瑰	投放特殊技能的皮肤	使用后可获得英雄皮肤-幻彩·夜玫瑰	21		1	22	10422|-1	1	100325	通过购买礼包获取									DK_Img_C_H_42_Lv2			DK_Bg_CM_Item4					99999							500000						
530431	伤痕累累·凌霜	投放特殊技能的皮肤	使用后可获得英雄皮肤-伤痕累累·凌霜	21		1	22	10431|-1	1	100220	通过购买礼包获取									DK_Img_C_H_43_Lv1			DK_Bg_CM_Item4					99999							500000						
530432	凌霜·布鲁斯·李	投放特殊技能的皮肤	使用后可获得英雄皮肤-凌霜·布鲁斯·李	21		1	22	10432|-1	1	100222	通过购买礼包获取									DK_Img_C_H_43_Lv2			DK_Bg_CM_Item4					99999							500000						
530433	武道冠军·凌霜	投放特殊技能的皮肤	使用后可获得英雄皮肤-武道冠军·凌霜	21		1	22	10433|-1	1		通过武道冠军活动获取									DK_Img_C_H_43_Lv3			DK_Bg_CM_Item4					99999							500000						
530471	狼魂之主·艾琳娜	投放特殊技能的皮肤	使用后可获得英雄皮肤-狼魂之主·艾琳娜	21		1	22	10471|-1	1	100276	通过购买礼包获取									DK_Img_C_H_47_Lv1			DK_Bg_CM_Item4					99999							500000						
530456	霓裳羽衣·维丹蒂亚	投放特殊技能的皮肤	使用后可获得英雄皮肤-霓裳羽衣·维丹蒂亚	21		1	22	105601|-1	1		通过公会争霸赛商店购买									DK_Img_C_H_56_Skin01			DK_Bg_CM_Item4					99999							500000						
55000	通用技能碎片	碎片	可用于兑换任意已合成的船只技能的碎片	1		0			1	1009|403|100192	通过舰队星级奖励获得	0								DK_icon_global_fragments			DK_Bg_CM_Item4					99998													
55001	化险为夷碎片	碎片	前3个回合,概率使部队受到的伤害减免,可强化该技能等级	1		0			1	309		0								DK_img_cm_ship_skill_1_1			DK_Bg_CM_Item4					99998													
55002	先发制人碎片	碎片	首回合造成额外伤害,开拓航道中造成的额外伤害增加2倍,可强化该技能等级	1		0			1	1009	通过舰队星级奖励获得	0								DK_img_cm_ship_skill_2_1			DK_Bg_CM_Item4					99998													
55003	竞技武装碎片	碎片	每回合有概率造成额外伤害,竞技场造成的额外伤害增加2倍,可强化该技能等级	1		0			1	407|408|409|410|411	通过竞技场商店可购买	0								DK_img_cm_ship_skill_3_1			DK_Bg_CM_Item4					99998													
55004	航海屏障碎片	碎片	每回合有概率使部队完全免疫一次伤害(单局最多生效1次),可强化该技能等级	1		0			1	308		0								DK_img_cm_ship_skill_4_1			DK_Bg_CM_Item4					99998													
55005	猎人武装碎片	碎片	猎人造成的伤害永久增加,可强化该技能等级	1		0			1			0								DK_img_cm_ship_skill_6_1			DK_Bg_CM_Item4					99998													
55006	斗士武装碎片	碎片	斗士造成的伤害永久增加,可强化该技能等级	1		0			1			0								DK_img_cm_ship_skill_5_1			DK_Bg_CM_Item4					99998													
55007	射手武装碎片	碎片	射手造成的伤害永久增加,可强化该技能等级	1		0			1			0								DK_img_cm_ship_skill_7_1			DK_Bg_CM_Item4					99998													
55008	采集大师碎片	碎片	采集效率提高,可强化该技能等级	1		0			1			0								DK_img_cm_ship_skill_8_1			DK_Bg_CM_Item4					99998													
55009	海怪克星碎片	碎片	可用于强化船只技能-海怪克星,提升该技能的等级	1		0			1			0								DK_img_cm_ship_skill_9_1			DK_Bg_CM_Item4					99998													
55010	火焰冲击碎片	碎片	可用于强化船只技能-火焰冲击,提升该技能的等级	1		0			1			0								DK_img_port_skill_10_1			DK_Bg_CM_Item4					99998													
55100	高级木板	船只改装升级材料	更加高级牢固地木板，可提升船只改装的等级	1		0			1	310|1007|401|403|405|420|756|100192		0								DK_icon_global_ship_wood			DK_Bg_CM_Item3					99998													
55101	神秘金属	船只改装升星材料	非常稀有的金属材质，可提升船只改装的星级	1		0			1	310|401|403|420|757|100192		0								DK_icon_global_ship_alloy			DK_Bg_CM_Item4					99998													
55102	保护液	船只改装升星材料	稀有金属中提炼的神秘液体，可使船只改装的星级提升必定成功	1		0			1	1008|405|758|100192		0								DK_icon_global_ship_Potion			DK_Bg_CM_Item4					99998													
56000	纯净回声	赛季资源（体力资源，不投放）	海妖歌声凝结而成，是最为稳定的回声能量结晶，散发着柔和的光辉。	1		0			1			0								DK_icon_global_research_4	DK_icon_global_research_4_1		DK_Bg_CM_Item3					999999													
56001	共鸣矿石	赛季资源	带有奇异音律的矿石，轻轻敲击时会回荡低沉回响。可用于提升回声科技。	9		0			1	636|637|787		0								DK_icon_global_research_3	DK_icon_global_research_3_1		DK_Bg_CM_Item4					999999													
56002	战斗残响	赛季资源	由无数幻象激烈碰撞后残留的战意碎片，蕴含着炽烈的斗志。可用于英雄装备附魔。	9		0			1	638|788		0								DK_icon_global_research_5	DK_icon_global_research_5_1		DK_Bg_CM_Item3					999999													
56003	破碎回声	赛季资源	失衡的回声碎片，蕴含着不稳定却强大的能量。	9		0			1	639|640|789		0								DK_icon_global_research_6	DK_icon_global_research_6_1		DK_Bg_CM_Item3					999999													
56005	科技核心	赛季资源	古老文明遗留的能量核心，似乎是掌控幻象的关键装置。可用于提升回声科技。	9		0			1	642|791		0								DK_icon_global_research_1	DK_icon_global_research_1_1		DK_Bg_CM_Item4					999999													
56006	纯净回声	赛季资源（可投放）	海妖歌声凝结而成，是最为稳定的回声能量结晶，散发着柔和的光辉。	9		0			1	2002|792		0								DK_icon_global_research_4	DK_icon_global_research_4_1		DK_Bg_CM_Item3					999999													
57000	薯条	钓鱼芬贝克的青睐	去码头吃点薯条，海鸥最爱的美食之一	1		0			1			0								DK_icon_global_fries			DK_Bg_CM_Item4					99999													
57001	速效治疗药水	武道大会受伤	能够快速让受伤中的英雄恢复战斗能力，投入战斗中	9		2	25		1	793		0								DK_icon_global_Potion_1			DK_Bg_CM_Item3					99999													
57002	技能冷却药剂	恢复技能冷却	能够快速恢复正在冷却中技能的冷却时间	23		3	26	1	1	798		0								DK_icon_global_cooldown			DK_Bg_CM_Item3					99999													
57003	冠军之路行动次数	活动	行动次数：在活动天下第一武道冠军之路中使用，每选择1次消耗1个行动次数	1		0			1	100277		0								DK_icon_global_Belt			DK_Bg_CM_Item4					999999													
57004	武道冠军专属雕像	活动	在天下第一武道冠军之路中获得服务器第一名的专属冠名雕像	1		0			1			0								DK_icon_jiaju_kvk01			DK_Bg_CM_Item4					999999													
60001	巢穴秘宝	（不再投放）赛季1-奇观占领奖励	占领巢穴的公会所有成员可获得	9		3	2	201001				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60002	巨兽宝藏	（不再投放）奇观BOSS奖励	击败巨型海兽之后，报名该巢穴的公会所有成员可以获得	9		3	2	202001				1								DK_chest_Wonder_monster			DK_Bg_CM_Item4					9999													
60003	Lv.1巢穴秘宝（First）	（不再投放）赛季1-Lv.1奇观首次占领奖励	首次占领Lv.1巢穴的公会所有成员可获得	9		3	2	203001				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60004	Lv.2巢穴秘宝（First）	（不再投放）赛季1-Lv.2奇观首次占领奖励	首次占领Lv.2巢穴的公会所有成员可获得	9		3	2	203011				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60005	Lv.3巢穴秘宝（First）	（不再投放）赛季1-Lv.3奇观首次占领奖励	首次占领Lv.3巢穴的公会所有成员可获得	9		3	2	203021				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60011	巢穴秘宝	（不再投放）赛季2-奇观占领奖励	占领巢穴的公会所有成员可获得	9		3	2	201002				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60013	Lv.1巢穴秘宝（First）	（不再投放）赛季2-Lv.1奇观首次占领奖励	首次占领Lv.1巢穴的公会所有成员可获得	9		3	2	203002				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60014	Lv.2巢穴秘宝（First）	（不再投放）赛季2-Lv.2奇观首次占领奖励	首次占领Lv.2巢穴的公会所有成员可获得	9		3	2	203012				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60015	Lv.3巢穴秘宝（First）	（不再投放）赛季2-Lv.3奇观首次占领奖励	首次占领Lv.3巢穴的公会所有成员可获得	9		3	2	203022				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60021	巢穴秘宝	（不再投放）赛季3-奇观占领奖励	占领巢穴的公会所有成员可获得	9		3	2	201003				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60023	Lv.1巢穴秘宝（First）	（不再投放）赛季3-Lv.1奇观首次占领奖励	首次占领Lv.1巢穴的公会所有成员可获得	9		3	2	203003				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60024	Lv.2巢穴秘宝（First）	（不再投放）赛季3-Lv.2奇观首次占领奖励	首次占领Lv.2巢穴的公会所有成员可获得	9		3	2	203013				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
60025	Lv.3巢穴秘宝（First）	（不再投放）赛季3-Lv.3奇观首次占领奖励	首次占领Lv.3巢穴的公会所有成员可获得	9		3	2	203023				1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
61001	巨兽宝藏	奇观BOSS奖励	击败巨型海兽之后，报名该巢穴的公会所有成员可以获得	9		3	2	204001			公会报名巢穴可获得	1								DK_chest_Wonder_monster			DK_Bg_CM_Item4					9999													
61002	巢穴秘宝	奇观占领奖励箱	占领巢穴的公会所有成员可获得	9		3	2	204002			公会占领巢穴可获得	1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
61003	Lv.1巢穴秘宝（First）	Lv.1奇观首次占领奖励	首次占领Lv.1巢穴的公会所有成员可获得	9		3	2	204003			公会占领巢穴可获得	1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
61004	Lv.2巢穴秘宝（First）	Lv.2奇观首次占领奖励	首次占领Lv.2巢穴的公会所有成员可获得	9		3	2	204004			公会占领巢穴可获得	1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
61005	Lv.3巢穴秘宝（First）	Lv.3奇观首次占领奖励	首次占领Lv.3巢穴的公会所有成员可获得	9		3	2	204005			公会占领巢穴可获得	1								DK_chest_Wonder_normal			DK_Bg_CM_Item4					9999													
70001	木制宝箱	绿0.8蓝0.2	冒险家和海盗藏在岛屿上的宝箱，运气好的话，在探险时可以遇到！	11		0					暂无获取渠道	1								DK_icon_Chest_1			DK_Bg_CM_Item1					100							1800						
70002	铁制宝箱	绿0.5篮0.4紫0.1	冒险家和海盗藏在岛屿上的宝箱，运气好的话，在探险时可以遇到！	11		0					暂无获取渠道	1								DK_icon_Chest_2			DK_Bg_CM_Item2					100							3500						
70003	幸运宝箱	蓝0.8紫0.15橙0.05	冒险家和海盗藏在岛屿上的宝箱，运气好的话，在探险时可以遇到！	11		0					暂无获取渠道	1								DK_icon_Chest_3			DK_Bg_CM_Item3					100							8000						
70004	豪华宝箱	紫0.8橙0.2	冒险家和海盗藏在岛屿上的宝箱，运气好的话，在探险时可以遇到！	11		0					暂无获取渠道	1								DK_icon_Chest_4			DK_Bg_CM_Item4					100							18000						
70101	木制钥匙		开启宝箱的钥匙，探险时可以捡到！	1		0					暂无获取渠道									DK_icon_key_1			DK_Bg_CM_Item1					100													
70102	铁制钥匙		开启宝箱的钥匙，探险时可以捡到！	1		0					暂无获取渠道									DK_icon_key_2			DK_Bg_CM_Item2					100													
70103	幸运钥匙		开启宝箱的钥匙，探险时可以捡到！	1		0					暂无获取渠道									DK_icon_key_3			DK_Bg_CM_Item3					100													
70104	豪华钥匙		开启宝箱的钥匙，探险时可以捡到！	1		0					暂无获取渠道									DK_icon_key_4			DK_Bg_CM_Item4					100													
80000	时间旅者	永久-七日任务		9		1	4	10001|-1												DK_Img_Player_AvatarFrame_03			DK_Bg_CM_Item4					9999													
80001	征服者（2天）	2天-奇观战		9		1	4	10004|172800			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item2	2d				9999													
80002	暗夜皇冠	永久		9		1	4	10002|-1			暂无获取渠道									DK_Img_Player_AvatarFrame_02			DK_Bg_CM_Item4					9999													
80003	光明使者	永久		9		1	4	10003|-1			通过女仆嘉奖活动获得									DK_Img_Player_AvatarFrame_04			DK_Bg_CM_Item4					9999													
80004	征服者（2天）	2天-奇观战		9		1	4	10004|172800			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item2	2d				9999													
80005	征服者（3天）	3天-奇观战		9		1	4	10004|259200			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item2	3d				9999													
80006	征服者（永久）	永久-奇观战		9		1	4	10004|-1			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item4					9999													
80007	浪涛之巅（永久）	永久	使用后可获得传说级头像框。	9		1	4	10005|-1			通过每日福利活动获得									DK_Img_Player_AvatarFrame_05			DK_Bg_CM_Item4					9999													
80008	征服者（7天）	7天-奇观战		9		1	4	10004|604800			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item3	7d				9999													
80009	征服者（30天）	30天-奇观战		9		1	4	10004|2592000			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item3	30d				9999													
80010	捣蛋小鬼（永久）	头像框-万圣节	使用后可获得传说级头像框。捉弄它的人，永远无法逃离迷雾。	9		1	4	10006|-1			通过节庆活动可获得									DK_Img_Player_AvatarFrame_08			DK_Bg_CM_Item4					9999													
80011	捣蛋小鬼（1天）	头像框-万圣节	使用后可获得传说级头像框。捉弄它的人，永远无法逃离迷雾。	9		2	4	10006|86400			通过节庆活动可获得									DK_Img_Player_AvatarFrame_08			DK_Bg_CM_Item2	1d				9999													
80012	捣蛋小鬼（3天）	头像框-万圣节	使用后可获得传说级头像框。捉弄它的人，永远无法逃离迷雾。	9		2	4	10006|259200			通过节庆活动可获得									DK_Img_Player_AvatarFrame_08			DK_Bg_CM_Item2	3d				9999													
80013	捣蛋小鬼（7天）	头像框-万圣节	使用后可获得传说级头像框。捉弄它的人，永远无法逃离迷雾。	9		2	4	10006|604800			通过节庆活动可获得									DK_Img_Player_AvatarFrame_08			DK_Bg_CM_Item3	7d				9999													
80014	捣蛋小鬼（30天）	头像框-万圣节	使用后可获得传说级头像框。捉弄它的人，永远无法逃离迷雾。	9		2	4	10006|2592000			通过节庆活动可获得									DK_Img_Player_AvatarFrame_08			DK_Bg_CM_Item3	30d				9999													
80015	征服者（15天）	15天-奇观战		9		1	4	10004|1296000			公会占领巢穴可获得									DK_Img_Player_AvatarFrame_11			DK_Bg_CM_Item3	15d				9999													
80021	酒香四溢（永久）	头像框-30留	使用后可获得传说级头像框。酒香四溢，庆典永驻，纪念酒馆开张30天的美好时光。	9		1	4	10007|-1			通过海洋女王活动获得									DK_Img_Player_AvatarFrame_07			DK_Bg_CM_Item4					9999													
80022	酒香四溢（1天）	头像框-30留	使用后可获得传说级头像框。酒香四溢，庆典永驻，纪念酒馆开张30天的美好时光。	9		2	4	10007|86400			通过海洋女王活动获得									DK_Img_Player_AvatarFrame_07			DK_Bg_CM_Item3	1d				9999													
80023	酒香四溢（3天）	头像框-30留	使用后可获得传说级头像框。酒香四溢，庆典永驻，纪念酒馆开张30天的美好时光。	9		2	4	10007|259200			通过海洋女王活动获得									DK_Img_Player_AvatarFrame_07			DK_Bg_CM_Item2	3d				9999													
80024	酒香四溢（7天）	头像框-30留	使用后可获得传说级头像框。酒香四溢，庆典永驻，纪念酒馆开张30天的美好时光。	9		2	4	10007|604800			通过海洋女王活动获得									DK_Img_Player_AvatarFrame_07			DK_Bg_CM_Item3	7d				9999													
80025	酒香四溢（30天）	头像框-30留	使用后可获得传说级头像框。酒香四溢，庆典永驻，纪念酒馆开张30天的美好时光。	9		2	4	10007|2592000			通过海洋女王活动获得									DK_Img_Player_AvatarFrame_07			DK_Bg_CM_Item3	30d				9999													
